price,address,bedroom,den,bathroom
"$3,800,000 ","30 RESTWELL CRES, Toronto, Ontario ",2,3,4
"$805,000 ","#307 -35 TUBMAN AVE, Toronto, Ontario ",2,0,2
"$1,688,000 ","120 HARLANDALE AVE, Toronto, Ontario ",3,2,3
"$619,900 ","#402 -51 EAST LIBERTY ST, Toronto, Ontario ",1,0,1
"$1,200,000 ","29 BELVIA Drive, Vaughan, Ontario ",3,0,2
"$1,949,000 ","330 CLAREMONT CRES, Oakville, Ontario ",3,1,4
"$1,050,000 ","10 JOSEPH ST, Toronto, Ontario ",4,1,3
"$1,149,900 ","106 BENJAMIN BOAKE TR, Toronto, Ontario ",4,1,3
"$749,000 ","#404 -1001 ROSELAWN AVE, Toronto, Ontario ",1,0,1
"$588,000 ","#1804 -3985 GRAND PARK DR, Mississauga, Ontario ",1,0,1
"$588,000 ","#1804 -3985 GRAND PARK DR, Mississauga, Ontario ",1,0,1
"$879,900 ","#1 -130 TENTH ST, Toronto, Ontario ",2,0,2
"$449,000 ","#401 -3621 LAKESHORE BLVD, Toronto, Ontario ",3,0,1
"$974,900 ","41 THIRTEENTH ST, Toronto, Ontario ",2,1,2
"$580,000 ","#2711 -5 VALHALLA INN RD, Toronto, Ontario ",1,1,1
"$7,999,900 ","94 CUMBERLAND DR, Mississauga, Ontario ",4,1,6
"$612,000 ","#509 -2212 LAKE SHORE BLVD W, Toronto, Ontario ",1,1,1
"$998,000 ","245 WHITE'S HILL AVE, Markham, Ontario ",3,0,3
"$839,000 ","#823 -75 WELDRICK RD E, Richmond Hill, Ontario ",3,1,3
"$998,000 ","32 TUFO AVE, Markham, Ontario ",4,1,5
"$1,598,000 ","241 VENETO DR, Vaughan, Ontario ",4,0,4
"$1,349,000 ","2 HUGHES ST, Richmond Hill, Ontario ",3,2,3
"$899,900 ","2604 CERISE MANR, Pickering, Ontario ",3,0,3
"$899,000 ","253 GOWAN AVE, Toronto, Ontario ",2,0,1
"$1,749,900 ","1450 HAWKTAIL PATH, Pickering, Ontario ",4,0,4
"$959,000 ","53 BAKERTON DR, Toronto, Ontario ",3,2,2
"$479,900 ","#1008 -1480 BAYLY ST, Pickering, Ontario ",1,0,1
"$669,000 ","#103 -275 BAMBURGH CIRC, Toronto, Ontario ",2,1,2
"$685,000 ","#2507 -60 TOWN CENTRE CRT, Toronto, Ontario ",2,1,2
"$1,200,000 ","#317 -993 QUEEN ST W, Toronto, Ontario ",1,0,1
"$799,900 ","#317 -100 DALHOUSIE ST, Toronto, Ontario ",2,0,2
"$848,800 ","#23 -90 CASTLEBURY CRES W, Toronto, Ontario ",3,0,4
"$599,999 ","#S1611 -5915 YONGE ST, Toronto, Ontario ",1,1,2
"$1,148,800 ","#112 -21 BURKEBROOK PL, Toronto, Ontario ",2,1,2
"$620,000 ","#720 -500 WILSON AVE, Toronto, Ontario ",2,0,2
"$775,000 ","#2302 -21 CARLTON ST, Toronto, Ontario ",2,0,2
"$618,000 ","#509 -500 WILSON AVE, Toronto, Ontario ",2,0,3
"$669,000 ","#1508 -50 ANN O'REILLY RD, Toronto, Ontario ",2,0,2
"$1,995,000 ","#506 -1 STRATHGOWAN AVE, Toronto, Ontario ",2,0,2
"$998,000 ","#701 -40 ROSEHILL AVE, Toronto, Ontario ",1,1,2
"$699,900 ","#1206 -8 COVINGTON RD, Toronto, Ontario ",2,0,2
"$499,900 ","#705 -115 BLUE JAYS WAY, Toronto, Ontario ",1,0,1
"$665,000 ","#3608 -101 PETER ST W, Toronto, Ontario ",1,0,1
"$1,950,000 ","#4602 -5 ST. JOSEPH ST, Toronto, Ontario ",2,1,2
"$2,380,000 ","35 GRANGEMILL CRES, Toronto, Ontario ",3,0,2
"$825,500 ","#127 -11 RUTTAN ST, Toronto, Ontario ",2,1,2
"$999,000 ","#2923 -28 WIDMER ST, Toronto, Ontario ",2,0,2
"$839,000 ","75 WELDRICK Road E Unit# 823, Richmond Hill, Ontario ",3,0,3
"$588,000 ","3985 GRAND PARK Drive Unit# 1804, Mississauga, Ontario ",1,0,1
"$2,789,000 ","8 BYWOOD DR, Toronto, Ontario ",4,0,5
"$2,089,990 ","16 CATHERWOOD CRT, Brampton, Ontario ",4,0,4
"$719,000 ","#202 -1478 QUEEN ST W, Toronto, Ontario ",1,0,2
"$1,199,900 ","#PH4804 -3975 GRAND PARK DR, Mississauga, Ontario ",3,1,2
"$499,900 ","#501 -7 SMITH CRES, Toronto, Ontario ",1,0,1
"$2,498,000 ","52 ASHMOUNT CRES, Toronto, Ontario ",5,1,5
"$1,049,990 ","129 THISTLE DOWN BLVD, Toronto, Ontario ",4,0,2
"$565,900 ","#1216 -1060 SHEPPARD AVE W, Toronto, Ontario ",1,1,1
"$729,000 ","#21 -180 MISSISSAUGA VALLEY BLVD, Mississauga, Ontario ",4,1,3
"$879,000 ","22 UTOPIA WAY, Brampton, Ontario ",3,0,3
"$288,000 ","#921 -3460 KEELE ST, Toronto, Ontario ",2,0,1
"$1,599,999 ","26 CLEARFIELD DR N, Brampton, Ontario ",4,0,4
"$1,099,000 ","86 LANGSIDE AVE, Toronto, Ontario ",3,3,3
"$1,149,900 ","38 VANDERPOOL CRES, Brampton, Ontario ",4,2,4
"$1,679,000 ","#101 -9 BURNHAMTHORPE CRES, Toronto, Ontario ",2,0,3
"$4,488,000 ","343 WATSON AVE, Oakville, Ontario ",5,0,5
"$788,000 ","#906 -1195 THE QUEENSWAY ST, Toronto, Ontario ",2,0,2
"$939,900 ","#4209 -2200 LAKE SHORE BLVD W, Toronto, Ontario ",2,1,2
"$7,999,900 ","94 CUMBERLAND Drive, Mississauga, Ontario ",4,1,6
"$799,000 ","#806 -6 DAVID EYER RD, Richmond Hill, Ontario ",2,0,2
"$1,988,000 ","52 SHALE CRES, Vaughan, Ontario ",4,1,5
"$599,000 ","#101 -9075 JANE ST, Vaughan, Ontario ",1,1,1
"$1,988,000 ","52 SHALE CRES, Vaughan, Ontario ",4,1,5
"$819,000 ","#1018 -376 HIGHWAY 7  E, Richmond Hill, Ontario ",2,1,2
"$5,300,000 ","117 DEXTER RD, Richmond Hill, Ontario ",5,2,9
"$1,989,000 ","107 BEL CANTO CRES, Richmond Hill, Ontario ",5,1,5
"$4,980,000 ","148 HILLSVIEW DR, Richmond Hill, Ontario ",5,2,9
"$678,800 ","#603 -9075 JANE ST, Vaughan, Ontario ",2,1,2
"$899,000 ","#809 -1000 ELGIN MILLS RD E, Richmond Hill, Ontario ",3,0,3
"$648,000 ","#2716 -8960 JANE ST, Vaughan, Ontario ",1,1,2
"$549,900 ","#2505 -950 PORTAGE PKWY, Vaughan, Ontario ",2,0,2
"$2,399,000 ","35 CONDOR AVE, Toronto, Ontario ",4,1,5
"$589,000 ","#208 -121 LING RD, Toronto, Ontario ",2,0,2
"$549,999 ","#302 -1701 MCCOWAN RD, Toronto, Ontario ",3,0,2
"$549,000 ","#1515 -1480 BAYLY ST, Pickering, Ontario ",1,1,1
"$799,900 ","45 LOWRY SQ, Toronto, Ontario ",3,2,4
"$759,000 ","10 HEMANS CRT, Ajax, Ontario ",3,0,3
"$872,000 ","1950 BOWLER DR, Pickering, Ontario ",3,0,2
"$1,199,000 ","21 VERRAL AVE, Toronto, Ontario ",3,0,2
"$529,888 ","#319 -20 JOHN ST, Toronto, Ontario ",1,0,1
"$638,000 ","#602 -1 PEMBERTON AVE, Toronto, Ontario ",1,1,1
"$1,099,000 ","#703 -223 ST CLAIR AVE W, Toronto, Ontario ",2,1,2
"$729,000 ","#1103 -87 PETER ST, Toronto, Ontario ",2,0,1
"$629,900 ","#1013 -108 PETER ST, Toronto, Ontario ",1,0,1
"$645,000 ","#913 -1005 KING ST W, Toronto, Ontario ",1,0,1
"$2,058,880 ","12 FIRTHWAY CRT, Toronto, Ontario ",3,2,2
"$995,000 ","#206 -1717 AVENUE RD, Toronto, Ontario ",1,1,2
"$1,199,000 ","#3504 -180 UNIVERSITY AVE, Toronto, Ontario ",1,0,1
"$599,900 ","#2803 -32 FOREST MANOR RD, Toronto, Ontario ",1,1,1
"$3,999,000 ","9 SANDFIELD RD, Toronto, Ontario ",3,1,4
"$674,888 ","#PH03 -10 WILLISON SQ, Toronto, Ontario ",1,0,1
"$499,000 ","##1202 -161 ROEHAMPTON AVE, Toronto, Ontario ",1,1,1
"$4,250,000 ","177 ST LEONARD'S AVE, Toronto, Ontario ",5,1,5
"$499,000 ","#323 -38 MONTE KWINTER CRT, Toronto, Ontario ",2,0,1
"$618,000 ","#2711 NT -99 BROADWAY AVE, Toronto, Ontario ",1,1,2
"$499,900 ","#701 -159 WELLESLEY ST E, Toronto, Ontario ",1,1,1
"$1,029,000 ","#1409 -5915 YONGE ST, Toronto, Ontario ",2,0,2
"$1,599,000 ","99 PARK HOME AVE, Toronto, Ontario ",3,0,1
"$2,499,000 ","467 BEDFORD PARK AVE, Toronto, Ontario ",4,0,3
"$730,000 ","#PH33 -1 EDGEWATER DR, Toronto, Ontario ",1,1,1
"$2,789,000 ","8 BYWOOD Drive, Etobicoke, Ontario ",4,1,5
"$879,900 ","130 Tenth Street, Unit #1, Etobicoke, Ontario ",2,0,2
"$4,488,000 ","343 WATSON Avenue, Oakville, Ontario ",5,0,5
"$999,000 ","59 FOURTH ST, Toronto, Ontario ",3,1,2
"$998,000 ","#102 -497 HORNER AVE, Toronto, Ontario ",3,0,2
"$1,200,000 ","72 AMORO DR, Toronto, Ontario ",3,0,2
"$988,000 ","2694 TRUSCOTT DR, Mississauga, Ontario ",4,0,2
"$1,999,000 ","757 MEADOW WOOD RD, Mississauga, Ontario ",2,1,2
"$849,999 ","#1 -66 LONGBRANCH AVE, Toronto, Ontario ",2,0,2
"$1,749,000 ","727 OXFORD ST, Toronto, Ontario ",5,0,4
"$1,649,000 ","393 ROYAL YORK RD, Toronto, Ontario ",6,0,6
"$2,998,000 ","2343 DARLINGTON TR, Oakville, Ontario ",4,2,5
"$579,000 ","#2608 -251 MANITOBA ST, Toronto, Ontario ",1,0,1
"$599,900 ","#601 -5101 DUNDAS ST, Toronto, Ontario ",1,1,1
"$499,000 ","#78 -90 CANON JACKSON DR, Toronto, Ontario ",1,0,1
"$739,000 ","#2106 -4099 BRICKSTONE MEWS, Mississauga, Ontario ",2,1,2
"$2,999,000 ","1234 OLD RIVER RD, Mississauga, Ontario ",4,1,5
"$1,899,900 ","386 MOONGLOW CRT, Mississauga, Ontario ",4,1,4
"$869,000 ","31 BROOKMERE RD, Toronto, Ontario ",3,1,3
"$1,175,000 ","#117A -11782 NINTH LINE, Whitchurch-Stouffville, Ontario ",3,0,3
"$1,288,000 ","33 BRIDLEPATH ST, Richmond Hill, Ontario ",3,1,4
"$1,650,000 ","328 WILLIAMSON RD, Markham, Ontario ",4,2,5
"$1,088,000 ","#107 -1331 MAJOR MACKENZIE DR, Vaughan, Ontario ",4,0,3
"$1,199,900 ","7 TURNHOUSE CRES, Markham, Ontario ",3,1,3
"$679,000 ","#816 -6 DAVID EYER RD, Richmond Hill, Ontario ",1,1,2
"$1,069,000 ","#TH108 -3 ROSEWATER ST, Richmond Hill, Ontario ",3,1,3
"$1,298,000 ","33 KING WILLIAM CRES, Richmond Hill, Ontario ",4,0,3
"$999,800 ","276 ROY RAINEY AVE, Markham, Ontario ",3,0,3
"$780,000 ","#1517 -610 BULLOCK DR, Markham, Ontario ",1,0,2
"$1,188,000 ","11735 TENTH LINE, Whitchurch-Stouffville, Ontario ",4,0,3
"$1,499,000 ","21 SYLVESTER CRT, Vaughan, Ontario ",4,0,3
"$3,800,000 ","163 HILLSVIEW DR, Richmond Hill, Ontario ",6,0,7
"$838,000 ","#809 -33 WELDRICK RD E, Richmond Hill, Ontario ",2,1,2
"$1,549,900 ","17 WELLSPRING AVE, Richmond Hill, Ontario ",5,2,5
"$1,998,000 ","157 JOANNA CRES, Vaughan, Ontario ",4,1,4
"$1,458,000 ","20 THORNE LANE, Markham, Ontario ",3,1,3
"$1,359,900 ","637 HIGHVIEW RD, Pickering, Ontario ",4,3,5
